"","pmid","from","to"
"395","26858309","8507750539885563380","3804306689269536534"
"396","26858309","4817139587086078689","3804306689269536534"
"397","26858309","4817139587086078689","-8627475029164210323"
"398","26858309","4817139587086078689","9100315485080262788"
"399","26858309","4817139587086078689","2131645766712061527"
"537","26893061","-9111931341780307576","-6390143014123480697"
"538","26893061","4496191920649739347","-6390143014123480697"
"539","26893061","9033695744972072993","-6390143014123480697"
"540","26893061","-8188638720577279163","-6390143014123480697"
"541","26893061","-2531875720891133112","-6390143014123480697"
"876","26989080","375196400634877094","5536078391277167944"
"877","26989080","375196400634877094","-6479177393439563032"
"878","26989080","4977878176498985760","6054942937770642038"
"1006","27028870","9140514953477728134","-7216116364198123046"
"1007","27028870","9140514953477728134","-6083430759087918359"
"1084","27036042","4496191920649739347","-3681719467036514282"
"1085","27036042","4496191920649739347","-3681719467036514282"
"1245","27081038","-7545347992112963689","3162786446906477157"
"1386","27109508","4496191920649739347","7057200899772785291"
"1387","27109508","-2265770499832369487","7057200899772785291"
"1388","27109508","-8939608412306483495","7057200899772785291"
"1389","27109508","-2109470401482526186","7057200899772785291"
"1390","27109508","-2200566318786854020","7057200899772785291"
"1391","27109508","4496191920649739347","-6257322556513960002"
"1392","27109508","-2265770499832369487","-6257322556513960002"
"1393","27109508","-8939608412306483495","-6257322556513960002"
"1394","27109508","-2109470401482526186","-6257322556513960002"
"1395","27109508","-2200566318786854020","-6257322556513960002"
"1396","27109508","4496191920649739347","4949518565740680060"
"1397","27109508","-2265770499832369487","4949518565740680060"
"1398","27109508","-8939608412306483495","4949518565740680060"
"1399","27109508","-2109470401482526186","4949518565740680060"
"1400","27109508","-2200566318786854020","4949518565740680060"
"1401","27109508","4496191920649739347","8368493177956110740"
"1402","27109508","-2265770499832369487","8368493177956110740"
"1403","27109508","-8939608412306483495","8368493177956110740"
"1404","27109508","-2109470401482526186","8368493177956110740"
"1405","27109508","-2200566318786854020","8368493177956110740"
"1406","27114443","6710700564871770653","3981538951477565111"
"1461","27118403","3420739253403379952","9088865850712551161"
"1462","27118403","3420739253403379952","5251233321817222374"
"1476","27129155","2440327587014975898","7052893636395061973"
"1554","27137475","963155521800006415","7665976553575355703"
"1555","27137475","-2531875720891133112","7665976553575355703"
"1556","27137475","4496191920649739347","2277073691551812866"
"1616","27145281","4496191920649739347","-3422479174796088778"
"1617","27145281","-910409836652376082","-3422479174796088778"
"1650","27157619","4496191920649739347","-4209942049145233504"
"1651","27157619","-595680398785564689","-4209942049145233504"
"1652","27157619","4138631179547403938","-6421831433605486762"
"1653","27157619","8171694481960509149","108085853077470225"
"1654","27157619","4496191920649739347","108085853077470225"
"1655","27157619","-4169215600128704571","108085853077470225"
"1658","27159593","375196400634877094","4900126377957793491"
"1659","27159593","375196400634877094","862361114644015943"
"1660","27159593","375196400634877094","443848327819137812"
"1661","27159593","375196400634877094","-8897119537686986438"
"1865","27174491","-8015618763951062393","-6195805560231552846"
"1866","27174491","778593712176295517","-6195805560231552846"
"1982","27211267","5039342224281592929","-800659689219610361"
"1983","27211268","7158737734176060100","-4382916669220838228"
"1984","27211268","-150742751759308095","8402354262327958491"
"1985","27211268","-150742751759308095","-6426247625480517468"
"1986","27211268","-150742751759308095","-7329013516749237851"
"1987","27211268","-150742751759308095","8519529802599800317"
"1988","27211269","-150742751759308095","3303681828928339709"
"1989","27211269","-3801419600830199048","3303681828928339709"
"1990","27211269","-5052347787814934214","-6276606724308715807"
"1991","27211269","-3801419600830199048","-6276606724308715807"
"1992","27211269","-5052347787814934214","3959319250503540706"
"1993","27211269","-3801419600830199048","3959319250503540706"
"1994","27211269","-5052347787814934214","4220995459433137566"
"1995","27211269","-3801419600830199048","4220995459433137566"
"1996","27211269","-5052347787814934214","-7648338950413361994"
"1997","27211269","-3801419600830199048","-7648338950413361994"
"1998","27211269","-5052347787814934214","-7622154273240500336"
"1999","27211269","-3801419600830199048","-7622154273240500336"
"2000","27211269","-5052347787814934214","-2080994550394489034"
"2001","27211269","-3801419600830199048","-2080994550394489034"
"2023","27221729","-1014147375867388215","3493514547331037362"
"2024","27221729","5510460828863833540","3493514547331037362"
"2025","27221729","4632477083328856853","3493514547331037362"
"2026","27221729","5829712284417423553","3493514547331037362"
"2027","27221729","-6669128456047834903","3493514547331037362"
"2028","27221729","-290649908450582724","3493514547331037362"
"2029","27221729","-290649908450582724","1367645691365341118"
"2030","27221729","5510460828863833540","1367645691365341118"
"2031","27221729","5829712284417423553","-1352472139412417435"
"2032","27221729","5510460828863833540","-1352472139412417435"
"2033","27221729","4632477083328856853","-1352472139412417435"
"2034","27221729","-6669128456047834903","-1352472139412417435"
"2035","27221729","-290649908450582724","-1352472139412417435"
"2036","27221729","-290649908450582724","-584173073577998456"
"2037","27221729","5510460828863833540","-584173073577998456"
"2038","27221729","4632477083328856853","-584173073577998456"
"2039","27221729","5829712284417423553","-584173073577998456"
"2040","27221729","-6669128456047834903","-584173073577998456"
"2041","27221729","-290649908450582724","-3586416418257805002"
"2042","27221729","5510460828863833540","-3586416418257805002"
"2043","27221729","4632477083328856853","-3586416418257805002"
"2044","27221729","5829712284417423553","-3586416418257805002"
"2045","27221729","-6669128456047834903","-3586416418257805002"
"2046","27221729","-290649908450582724","7210229895925052753"
"2047","27221729","5510460828863833540","7210229895925052753"
"2048","27221729","4632477083328856853","7210229895925052753"
"2049","27221729","5829712284417423553","7210229895925052753"
"2050","27221729","-6669128456047834903","7210229895925052753"
"2051","27221729","-290649908450582724","-3468580716674627425"
"2052","27221729","5510460828863833540","-3468580716674627425"
"2053","27221729","4632477083328856853","-3468580716674627425"
"2054","27221729","5829712284417423553","-3468580716674627425"
"2055","27221729","-6669128456047834903","-3468580716674627425"
"2056","27221729","-290649908450582724","3045573151349207762"
"2057","27221729","5510460828863833540","3045573151349207762"
"2058","27221729","5829712284417423553","4109099796969262719"
"2059","27221729","5510460828863833540","4109099796969262719"
"2060","27221729","5829712284417423553","-6841284586218123596"
"2061","27221729","5510460828863833540","-6841284586218123596"
"2062","27221729","4632477083328856853","-6841284586218123596"
"2063","27221729","-6669128456047834903","-6841284586218123596"
"2064","27221729","-290649908450582724","-1589015125670148196"
"2065","27221729","5510460828863833540","-1589015125670148196"
"2250","27248327","-2531875720891133112","3054548101838517883"
"2801","27323910","-8356303151323322921","-4382916669220838228"
"2802","27323910","-133014628300163222","-4382916669220838228"
"2803","27323910","-8356303151323322921","8519529802599800317"
"2804","27323910","-133014628300163222","8519529802599800317"
"2805","27323910","-8356303151323322921","-2691526144478427460"
"2806","27323910","-133014628300163222","-2691526144478427460"
"2830","27331411","1332107701671413820","1147702936170891397"
"2831","27331411","-2299936700995862033","8027871522178729439"
"2832","27331411","7850878548593074030","2720712733863489373"
"3041","27363283","3528821281990145526","7551748334296989841"
"3042","27363283","-8073017189073541138","7551748334296989841"
"3043","27363283","-8073017189073541138","-5886790088920785825"
"3044","27363283","-8073017189073541138","-4185875612495137623"
"3045","27363283","-8073017189073541138","-3918115998020098253"
"3046","27363283","-8073017189073541138","-2005291754510660353"
"3047","27363283","-8073017189073541138","-1463900116577583459"
"3048","27363283","-8073017189073541138","6677346897122091172"
"3049","27363283","-8073017189073541138","6465380633725784934"
"3050","27363283","-8073017189073541138","2000098051535259096"
"3051","27363283","-8073017189073541138","-8092986474166342776"
"3052","27363283","-8073017189073541138","8613697998226934419"
"3053","27363283","-8073017189073541138","-5621810857597100181"
"3054","27363283","-8073017189073541138","1503503774237393763"
"3055","27363283","-8073017189073541138","8386220746148700385"
"3056","27363283","-8073017189073541138","3211045700945726360"
"3111","27374090","-2056814564509388763","2228062921760909342"
"3112","27374090","-2056814564509388763","-4583780310743199411"
"3252","27385100","1685393985678457048","-6546688715351858796"
"3253","27385100","-9053976342694625635","-6546688715351858796"
"3270","27391441","4496191920649739347","-5161335018007062456"
"3431","27416912","7287342894640839607","-6666785625249577507"
"3432","27416912","7690085462478253680","-6666785625249577507"
"3433","27416912","-7463808890903380676","-6666785625249577507"
"3434","27416985","3934887264873752867","-227496649088444148"
"3435","27416985","-1014147375867388215","2042633807518141742"
"3436","27416985","-1051670365943237645","-2630793830686981687"
"3437","27416985","-1051670365943237645","-2630793830686981687"
"3438","27416985","1404933902319492121","-2630793830686981687"
"3439","27416985","-3212785207850349084","-2630793830686981687"
"3440","27416985","-1051670365943237645","-1135098093351933725"
"3441","27416985","-2531875720891133112","-1135098093351933725"
"3442","27416985","8596115707704972239","-1135098093351933725"
"3443","27416985","8596115707704972239","-1135098093351933725"
"3444","27416985","1404933902319492121","-1135098093351933725"
"3445","27416985","-4136293945453318069","-1135098093351933725"
"3446","27416985","4496191920649739347","-1135098093351933725"
"3447","27416985","7074361249633013650","-1135098093351933725"
"3448","27416985","8556962049153109223","-1135098093351933725"
"3449","27416985","-1690422511955589955","-1135098093351933725"
"3450","27416985","-3212785207850349084","-1135098093351933725"
"3451","27416985","1037369510078157027","-1135098093351933725"
"3452","27416985","3934887264873752867","-1135098093351933725"
"3453","27416985","-1051670365943237645","-1768652038431118668"
"3454","27416985","3709813188814751795","-1768652038431118668"
"3455","27416985","8596115707704972239","-1768652038431118668"
"3456","27416985","1404933902319492121","6694974120603701742"
